date,value
2022-09-04,1119.0
2022-09-05,729.0
2022-09-06,615.0
2022-09-07,617.0
2022-09-08,677.5
2022-09-09,792.5
2022-09-10,1180.0
2022-09-11,1247.0
2022-09-12,642.0
2022-09-13,649.0
2022-09-14,635.5
2022-09-15,748.5
2022-09-16,697.0
2022-09-17,682.0
2022-09-18,1164.5
2022-09-19,599.5
2022-09-20,555.0
2022-09-21,563.0
2022-09-22,642.5
2022-09-23,866.5
2022-09-24,1606.0
2022-09-25,1552.0
2022-09-26,616.0
2022-09-27,517.0
2022-09-28,571.5
2022-09-29,601.0
2022-09-30,616.5
2022-10-01,951.5
2022-10-02,1032.0
2022-10-03,548.0
2022-10-04,597.5
2022-10-05,918.0
2022-10-06,684.5
2022-10-07,672.5
2022-10-08,1167.0
2022-10-09,1427.0
2022-10-10,632.0
2022-10-11,624.5
2022-10-12,692.5
2022-10-13,613.0
2022-10-14,677.0
2022-10-15,1403.0
2022-10-16,1515.5
2022-10-17,744.0
2022-10-18,616.0
2022-10-19,605.0
2022-10-20,667.0
2022-10-21,821.5
2022-10-22,1410.0
2022-10-23,1385.5
2022-10-24,698.0
2022-10-25,637.5
2022-10-26,631.5
2022-10-27,598.5
2022-10-28,646.5
2022-10-29,1199.5
2022-10-30,1207.5
2022-10-31,641.5
2022-11-01,403.5
2022-11-02,711.0
2022-11-03,851.0
2022-11-04,1441.5
2022-11-05,1462.0
2022-11-06,1664.0
2022-11-07,740.0
2022-11-08,627.0
2022-11-09,678.5
2022-11-10,735.0
2022-11-11,1047.5
2022-11-12,1665.5
2022-11-13,1654.0
2022-11-14,487.0
2022-11-15,611.0
2022-11-16,678.0
2022-11-17,617.0
2022-11-18,741.5
2022-11-19,1237.0
2022-11-20,1356.0
2022-11-21,439.0
2022-11-22,468.0
2022-11-23,596.0
2022-11-24,585.0
2022-11-25,862.0
2022-11-26,1517.0
2022-11-27,1597.5
2022-11-28,570.0
2022-11-29,626.0
2022-11-30,594.5
2022-12-01,653.0
