value,date
455.0,2022-01-01
432.0,2022-01-02
372.0,2022-01-03
384.0,2022-01-04
350.0,2022-01-05
293.0,2022-01-06
338.0,2022-01-07
302.0,2022-01-08
362.0,2022-01-09
347.0,2022-01-10
284.0,2022-01-11
360.0,2022-01-12
319.0,2022-01-13
380.0,2022-01-14
352.0,2022-01-15
318.0,2022-01-16
304.0,2022-01-17
253.0,2022-01-18
565.0,2022-01-19
389.0,2022-01-20
418.0,2022-01-21
358.0,2022-01-22
327.0,2022-01-23
403.0,2022-01-24
256.0,2022-01-25
334.0,2022-01-26
289.0,2022-01-27
317.0,2022-01-28
360.0,2022-01-29
382.0,2022-01-30
375.0,2022-01-31
260.0,2022-02-01
279.0,2022-02-02
369.0,2022-02-03
337.0,2022-02-04
354.0,2022-02-05
444.0,2022-02-06
306.0,2022-02-07
256.0,2022-02-08
370.0,2022-02-09
281.0,2022-02-10
395.0,2022-02-11
373.0,2022-02-12
397.0,2022-02-13
346.0,2022-02-14
312.0,2022-02-15
421.0,2022-02-16
348.0,2022-02-17
309.0,2022-02-18
311.0,2022-02-19
429.0,2022-02-20
318.0,2022-02-21
296.0,2022-02-22
412.0,2022-02-23
339.0,2022-02-24
354.0,2022-02-25
365.0,2022-02-26
381.0,2022-02-27
345.0,2022-02-28
327.0,2022-03-01
353.0,2022-03-02
371.0,2022-03-03
365.0,2022-03-04
427.0,2022-03-05
439.0,2022-03-06
366.0,2022-03-07
330.0,2022-03-08
302.0,2022-03-09
373.0,2022-03-10
453.0,2022-03-11
405.0,2022-03-12
407.0,2022-03-13
383.0,2022-03-14
370.0,2022-03-15
378.0,2022-03-16
377.0,2022-03-17
404.0,2022-03-18
417.0,2022-03-19
444.0,2022-03-20
341.0,2022-03-21
313.0,2022-03-22
254.0,2022-03-23
339.0,2022-03-24
369.0,2022-03-25
301.0,2022-03-26
333.0,2022-03-27
322.0,2022-03-28
298.0,2022-03-29
282.0,2022-03-30
291.0,2022-03-31
315.0,2022-04-01
427.0,2022-04-02
371.0,2022-04-03
286.0,2022-04-04
295.0,2022-04-05
356.0,2022-04-06
316.0,2022-04-07
413.0,2022-04-08
350.0,2022-04-09
330.0,2022-04-10
296.0,2022-04-11
392.0,2022-04-12
309.0,2022-04-13
318.0,2022-04-14
338.0,2022-04-15
370.0,2022-04-16
297.0,2022-04-17
465.0,2022-04-18
281.0,2022-04-19
336.0,2022-04-20
254.0,2022-04-21
293.0,2022-04-22
318.0,2022-04-23
288.0,2022-04-24
226.0,2022-04-25
245.0,2022-04-26
273.0,2022-04-27
271.0,2022-04-28
339.0,2022-04-29
247.0,2022-04-30
368.0,2022-05-01
391.0,2022-05-02
309.0,2022-05-03
306.0,2022-05-04
305.0,2022-05-05
278.0,2022-05-06
318.0,2022-05-07
275.0,2022-05-08
483.0,2022-05-09
236.0,2022-05-10
247.0,2022-05-11
291.0,2022-05-12
277.0,2022-05-13
272.0,2022-05-14
309.0,2022-05-15
271.0,2022-05-16
286.0,2022-05-17
265.0,2022-05-18
319.0,2022-05-19
284.0,2022-05-20
345.0,2022-05-21
278.0,2022-05-22
279.0,2022-05-23
318.0,2022-05-24
304.0,2022-05-25
434.0,2022-05-26
275.0,2022-05-27
249.0,2022-05-28
274.0,2022-05-29
266.0,2022-05-30
385.0,2022-05-31
489.0,2022-06-01
244.0,2022-06-02
286.0,2022-06-03
249.0,2022-06-04
265.0,2022-06-05
323.0,2022-06-06
296.0,2022-06-07
507.0,2022-06-08
238.0,2022-06-09
322.0,2022-06-10
307.0,2022-06-11
255.0,2022-06-12
271.0,2022-06-13
264.0,2022-06-14
232.0,2022-06-15
337.0,2022-06-16
321.0,2022-06-17
282.0,2022-06-18
323.0,2022-06-19
274.0,2022-06-20
256.0,2022-06-21
276.0,2022-06-22
309.0,2022-06-23
308.0,2022-06-24
240.0,2022-06-25
408.0,2022-06-26
298.0,2022-06-27
249.0,2022-06-28
282.0,2022-06-29
320.0,2022-06-30
260.0,2022-07-01
287.0,2022-07-02
296.0,2022-07-03
260.0,2022-07-04
298.0,2022-07-05
314.0,2022-07-06
260.0,2022-07-07
298.0,2022-07-08
350.0,2022-07-09
373.0,2022-07-10
293.0,2022-07-11
250.0,2022-07-12
317.0,2022-07-13
284.0,2022-07-14
315.0,2022-07-15
287.0,2022-07-16
326.0,2022-07-17
246.0,2022-07-18
260.0,2022-07-19
223.0,2022-07-20
265.0,2022-07-21
201.0,2022-07-22
281.0,2022-07-23
311.0,2022-07-24
298.0,2022-07-25
313.0,2022-07-26
232.0,2022-07-27
273.0,2022-07-28
281.0,2022-07-29
267.0,2022-07-30
301.0,2022-07-31
281.0,2022-08-01
256.0,2022-08-02
387.0,2022-08-03
367.0,2022-08-04
384.0,2022-08-05
393.0,2022-08-06
415.0,2022-08-07
358.0,2022-08-08
277.0,2022-08-09
257.0,2022-08-10
337.0,2022-08-11
327.0,2022-08-12
339.0,2022-08-13
319.0,2022-08-14
283.0,2022-08-15
286.0,2022-08-16
249.0,2022-08-17
304.0,2022-08-18
283.0,2022-08-19
287.0,2022-08-20
299.0,2022-08-21
300.0,2022-08-22
339.0,2022-08-23
399.0,2022-08-24
271.0,2022-08-25
286.0,2022-08-26
355.0,2022-08-27
358.0,2022-08-28
249.0,2022-08-29
299.0,2022-08-30
260.0,2022-08-31
352.0,2022-09-01
247.0,2022-09-02
324.0,2022-09-03
340.0,2022-09-04
257.0,2022-09-05
255.0,2022-09-06
315.0,2022-09-07
304.0,2022-09-08
275.0,2022-09-09
274.0,2022-09-10
301.0,2022-09-11
327.0,2022-09-12
328.0,2022-09-13
256.0,2022-09-14
288.0,2022-09-15
313.0,2022-09-16
323.0,2022-09-17
281.0,2022-09-18
324.0,2022-09-19
262.0,2022-09-20
308.0,2022-09-21
243.0,2022-09-22
233.0,2022-09-23
241.0,2022-09-24
316.0,2022-09-25
254.0,2022-09-26
280.0,2022-09-27
248.0,2022-09-28
247.0,2022-09-29
245.0,2022-09-30
316.0,2022-10-01
320.0,2022-10-02
289.0,2022-10-03
275.0,2022-10-04
261.0,2022-10-05
291.0,2022-10-06
285.0,2022-10-07
241.0,2022-10-08
304.0,2022-10-09
256.0,2022-10-10
335.0,2022-10-11
345.0,2022-10-12
292.0,2022-10-13
289.0,2022-10-14
251.0,2022-10-15
339.0,2022-10-16
265.0,2022-10-17
303.0,2022-10-18
303.0,2022-10-19
271.0,2022-10-20
277.0,2022-10-21
251.0,2022-10-22
308.0,2022-10-23
247.0,2022-10-24
288.0,2022-10-25
218.0,2022-10-26
248.0,2022-10-27
276.0,2022-10-28
288.0,2022-10-29
268.0,2022-10-30
236.0,2022-10-31
294.0,2022-11-01
247.0,2022-11-02
284.0,2022-11-03
264.0,2022-11-04
252.0,2022-11-05
287.0,2022-11-06
235.0,2022-11-07
311.0,2022-11-08
241.0,2022-11-09
208.0,2022-11-10
315.0,2022-11-11
405.0,2022-11-12
323.0,2022-11-13
237.0,2022-11-14
256.0,2022-11-15
262.0,2022-11-16
277.0,2022-11-17
282.0,2022-11-18
316.0,2022-11-19
346.0,2022-11-20
261.0,2022-11-21
259.0,2022-11-22
178.0,2022-11-23
244.0,2022-11-24
287.0,2022-11-25
336.0,2022-11-26
352.0,2022-11-27
304.0,2022-11-28
231.0,2022-11-29
257.0,2022-11-30
250.0,2022-12-01
333.0,2022-12-02
329.0,2022-12-03
290.0,2022-12-04
236.0,2022-12-05
274.0,2022-12-06
288.0,2022-12-07
221.0,2022-12-08
299.0,2022-12-09
294.0,2022-12-10
349.0,2022-12-11
317.0,2022-12-12
266.0,2022-12-13
277.0,2022-12-14
246.0,2022-12-15
332.0,2022-12-16
312.0,2022-12-17
340.0,2022-12-18
283.0,2022-12-19
264.0,2022-12-20
279.0,2022-12-21
256.0,2022-12-22
371.0,2022-12-23
311.0,2022-12-24
356.0,2022-12-25
331.0,2022-12-26
305.0,2022-12-27
347.0,2022-12-28
394.0,2022-12-29
514.0,2022-12-30
460.0,2022-12-31
259.0,2023-01-01
287.0,2023-01-02
301.0,2023-01-03
236.0,2023-01-04
233.0,2023-01-05
247.0,2023-01-06
205.0,2023-01-07
303.0,2023-01-08
287.0,2023-01-09
251.0,2023-01-10
254.0,2023-01-11
337.0,2023-01-12
269.0,2023-01-13
262.0,2023-01-14
239.0,2023-01-15
244.0,2023-01-16
253.0,2023-01-17
209.0,2023-01-18
210.0,2023-01-19
234.0,2023-01-20
272.0,2023-01-21
232.0,2023-01-22
196.0,2023-01-23
192.0,2023-01-24
237.0,2023-01-25
253.0,2023-01-26
288.0,2023-01-27
281.0,2023-01-28
301.0,2023-01-29
239.0,2023-01-30
250.0,2023-01-31
204.0,2023-02-01
264.0,2023-02-02
217.0,2023-02-03
267.0,2023-02-04
213.0,2023-02-05
250.0,2023-02-06
218.0,2023-02-07
253.0,2023-02-08
316.0,2023-02-09
337.0,2023-02-10
272.0,2023-02-11
255.0,2023-02-12
248.0,2023-02-13
237.0,2023-02-14
261.0,2023-02-15
254.0,2023-02-16
331.0,2023-02-17
318.0,2023-02-18
270.0,2023-02-19
195.0,2023-02-20
281.0,2023-02-21
303.0,2023-02-22
337.0,2023-02-23
193.0,2023-02-24
253.0,2023-02-25
217.0,2023-02-26
242.0,2023-02-27
231.0,2023-02-28
268.0,2023-03-01
302.0,2023-03-02
343.0,2023-03-03
299.0,2023-03-04
358.0,2023-03-05
274.0,2023-03-06
272.0,2023-03-07
336.0,2023-03-08
187.0,2023-03-09
284.0,2023-03-10
322.0,2023-03-11
328.0,2023-03-12
303.0,2023-03-13
222.0,2023-03-14
257.0,2023-03-15
238.0,2023-03-16
317.0,2023-03-17
230.0,2023-03-18
332.0,2023-03-19
226.0,2023-03-20
249.0,2023-03-21
287.0,2023-03-22
205.0,2023-03-23
288.0,2023-03-24
216.0,2023-03-25
228.0,2023-03-26
298.0,2023-03-27
254.0,2023-03-28
279.0,2023-03-29
280.0,2023-03-30
238.0,2023-03-31
290.0,2023-04-01
323.0,2023-04-02
279.0,2023-04-03
227.0,2023-04-04
221.0,2023-04-05
263.0,2023-04-06
303.0,2023-04-07
292.0,2023-04-08
267.0,2023-04-09
249.0,2023-04-10
236.0,2023-04-11
250.0,2023-04-12
254.0,2023-04-13
280.0,2023-04-14
310.0,2023-04-15
408.0,2023-04-16
266.0,2023-04-17
264.0,2023-04-18
268.0,2023-04-19
319.0,2023-04-20
386.0,2023-04-21
338.0,2023-04-22
195.0,2023-04-23
289.0,2023-04-24
224.0,2023-04-25
194.0,2023-04-26
216.0,2023-04-27
237.0,2023-04-28
221.0,2023-04-29
334.0,2023-04-30
274.0,2023-05-01
255.0,2023-05-02
273.0,2023-05-03
335.0,2023-05-04
257.0,2023-05-05
278.0,2023-05-06
305.0,2023-05-07
300.0,2023-05-08
260.0,2023-05-09
224.0,2023-05-10
308.0,2023-05-11
270.0,2023-05-12
283.0,2023-05-13
305.0,2023-05-14
245.0,2023-05-15
251.0,2023-05-16
247.0,2023-05-17
274.0,2023-05-18
259.0,2023-05-19
252.0,2023-05-20
292.0,2023-05-21
309.0,2023-05-22
305.0,2023-05-23
215.0,2023-05-24
291.0,2023-05-25
229.0,2023-05-26
272.0,2023-05-27
329.0,2023-05-28
247.0,2023-05-29
260.0,2023-05-30
227.0,2023-05-31
243.0,2023-06-01
303.0,2023-06-02
266.0,2023-06-03
312.0,2023-06-04
288.0,2023-06-05
238.0,2023-06-06
191.0,2023-06-07
226.0,2023-06-08
289.0,2023-06-09
250.0,2023-06-10
269.0,2023-06-11
313.0,2023-06-12
178.0,2023-06-13
250.0,2023-06-14
221.0,2023-06-15
274.0,2023-06-16
250.0,2023-06-17
383.0,2023-06-18
231.0,2023-06-19
244.0,2023-06-20
188.0,2023-06-21
194.0,2023-06-22
250.0,2023-06-23
220.0,2023-06-24
294.0,2023-06-25
228.0,2023-06-26
273.0,2023-06-27
316.0,2023-06-28
269.0,2023-06-29
205.0,2023-06-30
290.0,2023-07-01
324.0,2023-07-02
187.0,2023-07-03
251.0,2023-07-04
264.0,2023-07-05
283.0,2023-07-06
261.0,2023-07-07
296.0,2023-07-08
278.0,2023-07-09
312.0,2023-07-10
237.0,2023-07-11
258.0,2023-07-12
253.0,2023-07-13
247.0,2023-07-14
316.0,2023-07-15
319.0,2023-07-16
275.0,2023-07-17
251.0,2023-07-18
249.0,2023-07-19
244.0,2023-07-20
276.0,2023-07-21
271.0,2023-07-22
267.0,2023-07-23
244.0,2023-07-24
306.0,2023-07-25
233.0,2023-07-26
285.0,2023-07-27
345.0,2023-07-28
336.0,2023-07-29
315.0,2023-07-30
325.0,2023-07-31
312.0,2023-08-01
273.0,2023-08-02
301.0,2023-08-03
302.0,2023-08-04
299.0,2023-08-05
367.0,2023-08-06
301.0,2023-08-07
283.0,2023-08-08
264.0,2023-08-09
284.0,2023-08-10
294.0,2023-08-11
286.0,2023-08-12
358.0,2023-08-13
260.0,2023-08-14
303.0,2023-08-15
258.0,2023-08-16
282.0,2023-08-17
266.0,2023-08-18
260.0,2023-08-19
377.0,2023-08-20
199.0,2023-08-21
262.0,2023-08-22
252.0,2023-08-23
239.0,2023-08-24
278.0,2023-08-25
317.0,2023-08-26
337.0,2023-08-27
271.0,2023-08-28
317.0,2023-08-29
264.0,2023-08-30
287.0,2023-08-31
271.0,2023-09-01
260.0,2023-09-02
329.0,2023-09-03
200.0,2023-09-04
254.0,2023-09-05
317.0,2023-09-06
171.0,2023-09-07
371.0,2023-09-08
277.0,2023-09-09
330.0,2023-09-10
208.0,2023-09-11
288.0,2023-09-12
323.0,2023-09-13
242.0,2023-09-14
320.0,2023-09-15
239.0,2023-09-16
295.0,2023-09-17
207.0,2023-09-18
234.0,2023-09-19
215.0,2023-09-20
332.0,2023-09-21
240.0,2023-09-22
283.0,2023-09-23
264.0,2023-09-24
222.0,2023-09-25
213.0,2023-09-26
268.0,2023-09-27
183.0,2023-09-28
277.0,2023-09-29
283.0,2023-09-30
200.0,2023-10-01
195.0,2023-10-02
204.0,2023-10-03
246.0,2023-10-04
191.0,2023-10-05
205.0,2023-10-06
241.0,2023-10-07
250.0,2023-10-08
230.0,2023-10-09
268.0,2023-10-10
183.0,2023-10-11
195.0,2023-10-12
198.0,2023-10-13
176.0,2023-10-14
280.0,2023-10-15
232.0,2023-10-16
236.0,2023-10-17
193.0,2023-10-18
211.0,2023-10-19
245.0,2023-10-20
281.0,2023-10-21
314.0,2023-10-22
208.0,2023-10-23
229.0,2023-10-24
287.0,2023-10-25
183.0,2023-10-26
263.0,2023-10-27
234.0,2023-10-28
218.0,2023-10-29
227.0,2023-10-30
228.0,2023-10-31
228.0,2023-11-01
207.0,2023-11-02
236.0,2023-11-03
271.0,2023-11-04
,2023-11-05
,2023-11-06
220.0,2023-11-07
266.0,2023-11-08
286.0,2023-11-09
277.0,2023-11-10
350.0,2023-11-11
261.0,2023-11-12
237.0,2023-11-13
,2023-11-14
248.0,2023-11-15
239.0,2023-11-16
231.0,2023-11-17
281.0,2023-11-18
390.0,2023-11-19
292.0,2023-11-20
193.0,2023-11-21
253.0,2023-11-22
199.0,2023-11-23
243.0,2023-11-24
212.0,2023-11-25
282.0,2023-11-26
299.0,2023-11-27
202.0,2023-11-28
264.0,2023-11-29
208.0,2023-11-30
214.0,2023-12-01
267.0,2023-12-02
196.0,2023-12-03
205.0,2023-12-04
184.0,2023-12-05
265.0,2023-12-06
207.0,2023-12-07
256.0,2023-12-08
275.0,2023-12-09
322.0,2023-12-10
186.0,2023-12-11
215.0,2023-12-12
225.0,2023-12-13
276.0,2023-12-14
267.0,2023-12-15
253.0,2023-12-16
328.0,2023-12-17
185.0,2023-12-18
250.0,2023-12-19
223.0,2023-12-20
311.0,2023-12-21
221.0,2023-12-22
293.0,2023-12-23
315.0,2023-12-24
233.0,2023-12-25
197.0,2023-12-26
227.0,2023-12-27
273.0,2023-12-28
307.0,2023-12-29
395.0,2023-12-30
419.0,2023-12-31
448.0,2024-01-01
262.0,2024-01-02
261.0,2024-01-03
381.0,2024-01-04
231.0,2024-01-05
190.0,2024-01-06
339.0,2024-01-07
311.0,2024-01-08
352.0,2024-01-09
246.0,2024-01-10
