value,date
898.0,2022-01-01
3167.0,2022-01-02
3380.0,2022-01-03
3423.0,2022-01-04
3373.0,2022-01-05
3767.0,2022-01-06
3511.0,2022-01-07
3645.0,2022-01-08
3543.0,2022-01-09
2122.0,2022-01-10
2252.0,2022-01-11
2362.0,2022-01-12
2563.0,2022-01-13
3196.0,2022-01-14
4608.0,2022-01-15
3897.0,2022-01-16
2148.0,2022-01-17
2046.0,2022-01-18
2377.0,2022-01-19
2509.0,2022-01-20
3059.0,2022-01-21
4296.0,2022-01-22
3768.0,2022-01-23
2214.0,2022-01-24
2398.0,2022-01-25
2435.0,2022-01-26
2398.0,2022-01-27
3130.0,2022-01-28
4200.0,2022-01-29
3726.0,2022-01-30
2229.0,2022-01-31
2111.0,2022-02-01
2129.0,2022-02-02
2164.0,2022-02-03
3134.0,2022-02-04
4167.0,2022-02-05
3763.0,2022-02-06
2124.0,2022-02-07
2066.0,2022-02-08
2327.0,2022-02-09
2480.0,2022-02-10
3309.0,2022-02-11
4694.0,2022-02-12
3736.0,2022-02-13
2121.0,2022-02-14
2163.0,2022-02-15
2241.0,2022-02-16
2397.0,2022-02-17
3062.0,2022-02-18
4719.0,2022-02-19
3939.0,2022-02-20
2368.0,2022-02-21
2765.0,2022-02-22
3302.0,2022-02-23
1789.0,2022-02-24
3034.0,2022-02-25
4107.0,2022-02-26
3579.0,2022-02-27
2172.0,2022-02-28
2213.0,2022-03-01
2334.0,2022-03-02
2494.0,2022-03-03
3280.0,2022-03-04
3557.0,2022-03-05
4583.0,2022-03-06
4414.0,2022-03-07
3875.0,2022-03-08
2282.0,2022-03-09
2517.0,2022-03-10
3096.0,2022-03-11
4868.0,2022-03-12
3916.0,2022-03-13
2699.0,2022-03-14
2876.0,2022-03-15
2703.0,2022-03-16
2823.0,2022-03-17
3515.0,2022-03-18
4691.0,2022-03-19
3981.0,2022-03-20
2501.0,2022-03-21
2735.0,2022-03-22
2366.0,2022-03-23
2562.0,2022-03-24
3214.0,2022-03-25
4737.0,2022-03-26
3771.0,2022-03-27
2142.0,2022-03-28
2334.0,2022-03-29
2432.0,2022-03-30
2385.0,2022-03-31
3083.0,2022-04-01
4249.0,2022-04-02
3563.0,2022-04-03
2546.0,2022-04-04
2606.0,2022-04-05
2575.0,2022-04-06
2523.0,2022-04-07
3362.0,2022-04-08
4396.0,2022-04-09
3823.0,2022-04-10
2201.0,2022-04-11
2356.0,2022-04-12
2394.0,2022-04-13
2350.0,2022-04-14
3060.0,2022-04-15
4180.0,2022-04-16
3642.0,2022-04-17
2137.0,2022-04-18
2278.0,2022-04-19
2489.0,2022-04-20
2396.0,2022-04-21
3543.0,2022-04-22
4124.0,2022-04-23
2731.0,2022-04-24
1972.0,2022-04-25
2229.0,2022-04-26
2386.0,2022-04-27
2544.0,2022-04-28
3534.0,2022-04-29
4230.0,2022-04-30
3352.0,2022-05-01
2886.0,2022-05-02
2931.0,2022-05-03
2220.0,2022-05-04
2663.0,2022-05-05
3338.0,2022-05-06
3658.0,2022-05-07
3401.0,2022-05-08
2921.0,2022-05-09
3169.0,2022-05-10
2236.0,2022-05-11
2136.0,2022-05-12
2865.0,2022-05-13
3712.0,2022-05-14
3545.0,2022-05-15
2206.0,2022-05-16
2253.0,2022-05-17
2312.0,2022-05-18
2436.0,2022-05-19
3317.0,2022-05-20
3641.0,2022-05-21
3660.0,2022-05-22
2110.0,2022-05-23
2203.0,2022-05-24
2418.0,2022-05-25
2539.0,2022-05-26
3153.0,2022-05-27
4428.0,2022-05-28
3619.0,2022-05-29
2092.0,2022-05-30
2185.0,2022-05-31
2187.0,2022-06-01
2390.0,2022-06-02
3186.0,2022-06-03
3666.0,2022-06-04
3360.0,2022-06-05
2178.0,2022-06-06
2076.0,2022-06-07
2351.0,2022-06-08
2534.0,2022-06-09
3464.0,2022-06-10
3301.0,2022-06-11
2947.0,2022-06-12
2992.0,2022-06-13
2045.0,2022-06-14
2039.0,2022-06-15
2348.0,2022-06-16
3083.0,2022-06-17
3618.0,2022-06-18
3353.0,2022-06-19
2379.0,2022-06-20
2149.0,2022-06-21
2136.0,2022-06-22
2239.0,2022-06-23
1997.0,2022-06-24
3130.0,2022-06-25
3402.0,2022-06-26
2431.0,2022-06-27
2449.0,2022-06-28
2290.0,2022-06-29
2484.0,2022-06-30
2497.0,2022-07-01
2949.0,2022-07-02
2660.0,2022-07-03
1954.0,2022-07-04
1863.0,2022-07-05
2160.0,2022-07-06
2052.0,2022-07-07
2517.0,2022-07-08
3145.0,2022-07-09
2599.0,2022-07-10
1699.0,2022-07-11
1887.0,2022-07-12
1839.0,2022-07-13
2188.0,2022-07-14
2646.0,2022-07-15
2945.0,2022-07-16
2486.0,2022-07-17
1704.0,2022-07-18
1767.0,2022-07-19
1846.0,2022-07-20
1986.0,2022-07-21
2644.0,2022-07-22
2959.0,2022-07-23
2427.0,2022-07-24
1632.0,2022-07-25
1940.0,2022-07-26
1869.0,2022-07-27
1689.0,2022-07-28
2560.0,2022-07-29
3048.0,2022-07-30
2560.0,2022-07-31
1691.0,2022-08-01
1595.0,2022-08-02
1612.0,2022-08-03
1711.0,2022-08-04
2478.0,2022-08-05
2483.0,2022-08-06
2235.0,2022-08-07
1634.0,2022-08-08
1930.0,2022-08-09
1908.0,2022-08-10
1953.0,2022-08-11
2382.0,2022-08-12
2773.0,2022-08-13
2226.0,2022-08-14
1716.0,2022-08-15
1960.0,2022-08-16
2179.0,2022-08-17
2011.0,2022-08-18
2409.0,2022-08-19
2888.0,2022-08-20
2730.0,2022-08-21
1922.0,2022-08-22
1993.0,2022-08-23
1965.0,2022-08-24
1989.0,2022-08-25
2340.0,2022-08-26
2694.0,2022-08-27
2562.0,2022-08-28
1678.0,2022-08-29
1626.0,2022-08-30
1855.0,2022-08-31
2022.0,2022-09-01
2593.0,2022-09-02
3226.0,2022-09-03
2893.0,2022-09-04
2035.0,2022-09-05
1998.0,2022-09-06
1934.0,2022-09-07
2117.0,2022-09-08
2691.0,2022-09-09
3320.0,2022-09-10
3129.0,2022-09-11
1818.0,2022-09-12
1921.0,2022-09-13
2076.0,2022-09-14
2263.0,2022-09-15
2830.0,2022-09-16
3315.0,2022-09-17
3091.0,2022-09-18
1993.0,2022-09-19
2008.0,2022-09-20
2059.0,2022-09-21
2211.0,2022-09-22
2689.0,2022-09-23
3589.0,2022-09-24
3023.0,2022-09-25
1872.0,2022-09-26
2023.0,2022-09-27
1982.0,2022-09-28
2188.0,2022-09-29
2801.0,2022-09-30
3266.0,2022-10-01
2948.0,2022-10-02
1796.0,2022-10-03
2077.0,2022-10-04
2195.0,2022-10-05
2351.0,2022-10-06
2885.0,2022-10-07
3610.0,2022-10-08
3044.0,2022-10-09
1860.0,2022-10-10
2234.0,2022-10-11
2277.0,2022-10-12
2429.0,2022-10-13
2837.0,2022-10-14
3966.0,2022-10-15
3289.0,2022-10-16
2175.0,2022-10-17
2139.0,2022-10-18
2352.0,2022-10-19
2406.0,2022-10-20
3014.0,2022-10-21
3703.0,2022-10-22
2927.0,2022-10-23
2196.0,2022-10-24
2246.0,2022-10-25
2396.0,2022-10-26
2638.0,2022-10-27
3393.0,2022-10-28
4248.0,2022-10-29
3590.0,2022-10-30
2185.0,2022-10-31
2213.0,2022-11-01
2493.0,2022-11-02
3139.0,2022-11-03
4138.0,2022-11-04
3139.0,2022-11-05
3308.0,2022-11-06
2044.0,2022-11-07
2187.0,2022-11-08
2372.0,2022-11-09
2191.0,2022-11-10
3002.0,2022-11-11
3901.0,2022-11-12
3263.0,2022-11-13
1996.0,2022-11-14
2164.0,2022-11-15
2053.0,2022-11-16
2249.0,2022-11-17
2731.0,2022-11-18
4261.0,2022-11-19
3498.0,2022-11-20
1986.0,2022-11-21
1827.0,2022-11-22
2207.0,2022-11-23
2372.0,2022-11-24
3139.0,2022-11-25
4523.0,2022-11-26
3585.0,2022-11-27
2075.0,2022-11-28
2183.0,2022-11-29
2194.0,2022-11-30
2595.0,2022-12-01
3103.0,2022-12-02
4315.0,2022-12-03
3568.0,2022-12-04
1988.0,2022-12-05
2580.0,2022-12-06
2504.0,2022-12-07
2139.0,2022-12-08
3009.0,2022-12-09
4283.0,2022-12-10
3712.0,2022-12-11
1996.0,2022-12-12
2220.0,2022-12-13
1972.0,2022-12-14
2234.0,2022-12-15
3242.0,2022-12-16
4426.0,2022-12-17
2910.0,2022-12-18
1890.0,2022-12-19
2184.0,2022-12-20
2648.0,2022-12-21
2644.0,2022-12-22
3488.0,2022-12-23
5275.0,2022-12-24
5097.0,2022-12-25
3351.0,2022-12-26
3574.0,2022-12-27
4440.0,2022-12-28
6147.0,2022-12-29
7713.0,2022-12-30
5920.0,2022-12-31
803.0,2023-01-01
2808.0,2023-01-02
2784.0,2023-01-03
2949.0,2023-01-04
3399.0,2023-01-05
3634.0,2023-01-06
2975.0,2023-01-07
2794.0,2023-01-08
1730.0,2023-01-09
1733.0,2023-01-10
1961.0,2023-01-11
2048.0,2023-01-12
2909.0,2023-01-13
4122.0,2023-01-14
3359.0,2023-01-15
1634.0,2023-01-16
1797.0,2023-01-17
1962.0,2023-01-18
1889.0,2023-01-19
2906.0,2023-01-20
4281.0,2023-01-21
3363.0,2023-01-22
1714.0,2023-01-23
1854.0,2023-01-24
1945.0,2023-01-25
2111.0,2023-01-26
2933.0,2023-01-27
4354.0,2023-01-28
3591.0,2023-01-29
1829.0,2023-01-30
1611.0,2023-01-31
1629.0,2023-02-01
1933.0,2023-02-02
2983.0,2023-02-03
4252.0,2023-02-04
3561.0,2023-02-05
1786.0,2023-02-06
1804.0,2023-02-07
1841.0,2023-02-08
2058.0,2023-02-09
2972.0,2023-02-10
4733.0,2023-02-11
3473.0,2023-02-12
1828.0,2023-02-13
1934.0,2023-02-14
1931.0,2023-02-15
2196.0,2023-02-16
3126.0,2023-02-17
4544.0,2023-02-18
3414.0,2023-02-19
1846.0,2023-02-20
2361.0,2023-02-21
3377.0,2023-02-22
3876.0,2023-02-23
3213.0,2023-02-24
3286.0,2023-02-25
3094.0,2023-02-26
1809.0,2023-02-27
1856.0,2023-02-28
2006.0,2023-03-01
2058.0,2023-03-02
3377.0,2023-03-03
4880.0,2023-03-04
4009.0,2023-03-05
2629.0,2023-03-06
3792.0,2023-03-07
3910.0,2023-03-08
1879.0,2023-03-09
3096.0,2023-03-10
4399.0,2023-03-11
3345.0,2023-03-12
1891.0,2023-03-13
2136.0,2023-03-14
2242.0,2023-03-15
2145.0,2023-03-16
3213.0,2023-03-17
4481.0,2023-03-18
3724.0,2023-03-19
2053.0,2023-03-20
2179.0,2023-03-21
2289.0,2023-03-22
2151.0,2023-03-23
2851.0,2023-03-24
4448.0,2023-03-25
3692.0,2023-03-26
1750.0,2023-03-27
2012.0,2023-03-28
1897.0,2023-03-29
1936.0,2023-03-30
2713.0,2023-03-31
3676.0,2023-04-01
3199.0,2023-04-02
1789.0,2023-04-03
1986.0,2023-04-04
2024.0,2023-04-05
2106.0,2023-04-06
3452.0,2023-04-07
4300.0,2023-04-08
3776.0,2023-04-09
1918.0,2023-04-10
1952.0,2023-04-11
2204.0,2023-04-12
2324.0,2023-04-13
3639.0,2023-04-14
3979.0,2023-04-15
2973.0,2023-04-16
1608.0,2023-04-17
1657.0,2023-04-18
1971.0,2023-04-19
2113.0,2023-04-20
2782.0,2023-04-21
3940.0,2023-04-22
3203.0,2023-04-23
1689.0,2023-04-24
1760.0,2023-04-25
1864.0,2023-04-26
2066.0,2023-04-27
2963.0,2023-04-28
3910.0,2023-04-29
3288.0,2023-04-30
3004.0,2023-05-01
1786.0,2023-05-02
2029.0,2023-05-03
2529.0,2023-05-04
3345.0,2023-05-05
3651.0,2023-05-06
3257.0,2023-05-07
3027.0,2023-05-08
2693.0,2023-05-09
1922.0,2023-05-10
2309.0,2023-05-11
2744.0,2023-05-12
3261.0,2023-05-13
3120.0,2023-05-14
1765.0,2023-05-15
1825.0,2023-05-16
1719.0,2023-05-17
2050.0,2023-05-18
2828.0,2023-05-19
3580.0,2023-05-20
3194.0,2023-05-21
1766.0,2023-05-22
1951.0,2023-05-23
2112.0,2023-05-24
2274.0,2023-05-25
2671.0,2023-05-26
3446.0,2023-05-27
3138.0,2023-05-28
1702.0,2023-05-29
1722.0,2023-05-30
1883.0,2023-05-31
1947.0,2023-06-01
2497.0,2023-06-02
3827.0,2023-06-03
2895.0,2023-06-04
1934.0,2023-06-05
2057.0,2023-06-06
1976.0,2023-06-07
2274.0,2023-06-08
2973.0,2023-06-09
3254.0,2023-06-10
2748.0,2023-06-11
2694.0,2023-06-12
1845.0,2023-06-13
1896.0,2023-06-14
2101.0,2023-06-15
2827.0,2023-06-16
3323.0,2023-06-17
3014.0,2023-06-18
1751.0,2023-06-19
1816.0,2023-06-20
2132.0,2023-06-21
2261.0,2023-06-22
2653.0,2023-06-23
3061.0,2023-06-24
3058.0,2023-06-25
1925.0,2023-06-26
1900.0,2023-06-27
1995.0,2023-06-28
1944.0,2023-06-29
2794.0,2023-06-30
3422.0,2023-07-01
2852.0,2023-07-02
1738.0,2023-07-03
1965.0,2023-07-04
1850.0,2023-07-05
1921.0,2023-07-06
2598.0,2023-07-07
2987.0,2023-07-08
2742.0,2023-07-09
1672.0,2023-07-10
1853.0,2023-07-11
1978.0,2023-07-12
2038.0,2023-07-13
2557.0,2023-07-14
3222.0,2023-07-15
2775.0,2023-07-16
1830.0,2023-07-17
1848.0,2023-07-18
1787.0,2023-07-19
2113.0,2023-07-20
2624.0,2023-07-21
3046.0,2023-07-22
2757.0,2023-07-23
1759.0,2023-07-24
1799.0,2023-07-25
1764.0,2023-07-26
2036.0,2023-07-27
2456.0,2023-07-28
3078.0,2023-07-29
2773.0,2023-07-30
1727.0,2023-07-31
1759.0,2023-08-01
1802.0,2023-08-02
1870.0,2023-08-03
2589.0,2023-08-04
3188.0,2023-08-05
2851.0,2023-08-06
1770.0,2023-08-07
2009.0,2023-08-08
1950.0,2023-08-09
2382.0,2023-08-10
2558.0,2023-08-11
3197.0,2023-08-12
2913.0,2023-08-13
1876.0,2023-08-14
2028.0,2023-08-15
2066.0,2023-08-16
2333.0,2023-08-17
2878.0,2023-08-18
3186.0,2023-08-19
2949.0,2023-08-20
1717.0,2023-08-21
1837.0,2023-08-22
1896.0,2023-08-23
2295.0,2023-08-24
2955.0,2023-08-25
3362.0,2023-08-26
2809.0,2023-08-27
2070.0,2023-08-28
1989.0,2023-08-29
2058.0,2023-08-30
2255.0,2023-08-31
2711.0,2023-09-01
3250.0,2023-09-02
2845.0,2023-09-03
1973.0,2023-09-04
2023.0,2023-09-05
2112.0,2023-09-06
2286.0,2023-09-07
2921.0,2023-09-08
3300.0,2023-09-09
3102.0,2023-09-10
1950.0,2023-09-11
1847.0,2023-09-12
2159.0,2023-09-13
2116.0,2023-09-14
2750.0,2023-09-15
3389.0,2023-09-16
2742.0,2023-09-17
1952.0,2023-09-18
1907.0,2023-09-19
1962.0,2023-09-20
2323.0,2023-09-21
2675.0,2023-09-22
3034.0,2023-09-23
2690.0,2023-09-24
1967.0,2023-09-25
1988.0,2023-09-26
1913.0,2023-09-27
2170.0,2023-09-28
2640.0,2023-09-29
3080.0,2023-09-30
2754.0,2023-10-01
1812.0,2023-10-02
2117.0,2023-10-03
