value,date
193.0,2022-10-17
166.0,2022-10-18
175.0,2022-10-19
216.0,2022-10-20
244.0,2022-10-21
996.0,2022-10-22
908.0,2022-10-23
183.0,2022-10-24
205.0,2022-10-25
204.0,2022-10-26
215.0,2022-10-27
250.0,2022-10-28
810.0,2022-10-29
824.0,2022-10-30
183.0,2022-10-31
196.0,2022-11-01
189.0,2022-11-02
234.0,2022-11-03
969.0,2022-11-04
951.0,2022-11-05
859.0,2022-11-06
146.0,2022-11-07
136.0,2022-11-08
197.0,2022-11-09
228.0,2022-11-10
306.0,2022-11-11
776.0,2022-11-12
886.0,2022-11-13
170.0,2022-11-14
194.0,2022-11-15
194.0,2022-11-16
238.0,2022-11-17
327.0,2022-11-18
1054.0,2022-11-19
1076.0,2022-11-20
210.0,2022-11-21
130.0,2022-11-22
197.0,2022-11-23
251.0,2022-11-24
595.0,2022-11-25
1399.0,2022-11-26
1202.0,2022-11-27
184.0,2022-11-28
233.0,2022-11-29
215.0,2022-11-30
214.0,2022-12-01
207.0,2022-12-02
649.0,2022-12-03
686.0,2022-12-04
129.0,2022-12-05
156.0,2022-12-06
168.0,2022-12-07
111.0,2022-12-08
204.0,2022-12-09
661.0,2022-12-10
605.0,2022-12-11
127.0,2022-12-12
122.0,2022-12-13
122.0,2022-12-14
137.0,2022-12-15
210.0,2022-12-16
622.0,2022-12-17
351.0,2022-12-18
116.0,2022-12-19
156.0,2022-12-20
159.0,2022-12-21
180.0,2022-12-22
169.0,2022-12-23
603.0,2022-12-24
730.0,2022-12-25
225.0,2022-12-26
213.0,2022-12-27
229.0,2022-12-28
214.0,2022-12-29
267.0,2022-12-30
158.0,2022-12-31
279.0,2023-01-01
954.0,2023-01-02
700.0,2023-01-03
757.0,2023-01-04
738.0,2023-01-05
550.0,2023-01-06
419.0,2023-01-07
427.0,2023-01-08
130.0,2023-01-09
111.0,2023-01-10
138.0,2023-01-11
119.0,2023-01-12
170.0,2023-01-13
550.0,2023-01-14
544.0,2023-01-15
107.0,2023-01-16
106.0,2023-01-17
106.0,2023-01-18
118.0,2023-01-19
194.0,2023-01-20
739.0,2023-01-21
624.0,2023-01-22
133.0,2023-01-23
139.0,2023-01-24
152.0,2023-01-25
147.0,2023-01-26
185.0,2023-01-27
588.0,2023-01-28
563.0,2023-01-29
124.0,2023-01-30
133.0,2023-01-31
128.0,2023-02-01
154.0,2023-02-02
154.0,2023-02-03
678.0,2023-02-04
622.0,2023-02-05
140.0,2023-02-06
124.0,2023-02-07
144.0,2023-02-08
112.0,2023-02-09
143.0,2023-02-10
586.0,2023-02-11
552.0,2023-02-12
166.0,2023-02-13
143.0,2023-02-14
128.0,2023-02-15
179.0,2023-02-16
155.0,2023-02-17
659.0,2023-02-18
477.0,2023-02-19
110.0,2023-02-20
124.0,2023-02-21
156.0,2023-02-22
522.0,2023-02-23
628.0,2023-02-24
618.0,2023-02-25
433.0,2023-02-26
121.0,2023-02-27
106.0,2023-02-28
153.0,2023-03-01
,2023-03-02
148.0,2023-03-03
768.0,2023-03-04
813.0,2023-03-05
196.0,2023-03-06
215.0,2023-03-07
924.0,2023-03-08
189.0,2023-03-09
202.0,2023-03-10
679.0,2023-03-11
484.0,2023-03-12
129.0,2023-03-13
182.0,2023-03-14
230.0,2023-03-15
198.0,2023-03-16
267.0,2023-03-17
1166.0,2023-03-18
1237.0,2023-03-19
227.0,2023-03-20
271.0,2023-03-21
251.0,2023-03-22
289.0,2023-03-23
263.0,2023-03-24
1128.0,2023-03-25
867.0,2023-03-26
211.0,2023-03-27
297.0,2023-03-28
232.0,2023-03-29
209.0,2023-03-30
276.0,2023-03-31
1177.0,2023-04-01
1143.0,2023-04-02
229.0,2023-04-03
253.0,2023-04-04
320.0,2023-04-05
260.0,2023-04-06
290.0,2023-04-07
1225.0,2023-04-08
1112.0,2023-04-09
239.0,2023-04-10
317.0,2023-04-11
273.0,2023-04-12
252.0,2023-04-13
217.0,2023-04-14
745.0,2023-04-15
792.0,2023-04-16
213.0,2023-04-17
216.0,2023-04-18
258.0,2023-04-19
266.0,2023-04-20
350.0,2023-04-21
1111.0,2023-04-22
1114.0,2023-04-23
253.0,2023-04-24
246.0,2023-04-25
255.0,2023-04-26
246.0,2023-04-27
205.0,2023-04-28
973.0,2023-04-29
848.0,2023-04-30
668.0,2023-05-01
229.0,2023-05-02
245.0,2023-05-03
265.0,2023-05-04
218.0,2023-05-05
741.0,2023-05-06
886.0,2023-05-07
853.0,2023-05-08
515.0,2023-05-09
185.0,2023-05-10
185.0,2023-05-11
297.0,2023-05-12
943.0,2023-05-13
916.0,2023-05-14
235.0,2023-05-15
232.0,2023-05-16
245.0,2023-05-17
278.0,2023-05-18
238.0,2023-05-19
958.0,2023-05-20
1014.0,2023-05-21
218.0,2023-05-22
201.0,2023-05-23
303.0,2023-05-24
219.0,2023-05-25
354.0,2023-05-26
993.0,2023-05-27
898.0,2023-05-28
245.0,2023-05-29
248.0,2023-05-30
162.0,2023-05-31
321.0,2023-06-01
284.0,2023-06-02
724.0,2023-06-03
880.0,2023-06-04
256.0,2023-06-05
311.0,2023-06-06
318.0,2023-06-07
282.0,2023-06-08
283.0,2023-06-09
941.0,2023-06-10
1042.0,2023-06-11
955.0,2023-06-12
292.0,2023-06-13
401.0,2023-06-14
327.0,2023-06-15
341.0,2023-06-16
1001.0,2023-06-17
1111.0,2023-06-18
360.0,2023-06-19
345.0,2023-06-20
465.0,2023-06-21
323.0,2023-06-22
297.0,2023-06-23
491.0,2023-06-24
939.0,2023-06-25
336.0,2023-06-26
269.0,2023-06-27
250.0,2023-06-28
263.0,2023-06-29
192.0,2023-06-30
818.0,2023-07-01
859.0,2023-07-02
291.0,2023-07-03
354.0,2023-07-04
346.0,2023-07-05
299.0,2023-07-06
295.0,2023-07-07
839.0,2023-07-08
837.0,2023-07-09
236.0,2023-07-10
203.0,2023-07-11
226.0,2023-07-12
163.0,2023-07-13
240.0,2023-07-14
768.0,2023-07-15
778.0,2023-07-16
241.0,2023-07-17
220.0,2023-07-18
235.0,2023-07-19
256.0,2023-07-20
281.0,2023-07-21
787.0,2023-07-22
709.0,2023-07-23
170.0,2023-07-24
240.0,2023-07-25
205.0,2023-07-26
298.0,2023-07-27
194.0,2023-07-28
694.0,2023-07-29
699.0,2023-07-30
250.0,2023-07-31
254.0,2023-08-01
307.0,2023-08-02
237.0,2023-08-03
255.0,2023-08-04
589.0,2023-08-05
570.0,2023-08-06
219.0,2023-08-07
278.0,2023-08-08
258.0,2023-08-09
377.0,2023-08-10
285.0,2023-08-11
675.0,2023-08-12
778.0,2023-08-13
275.0,2023-08-14
305.0,2023-08-15
308.0,2023-08-16
349.0,2023-08-17
311.0,2023-08-18
961.0,2023-08-19
860.0,2023-08-20
403.0,2023-08-21
379.0,2023-08-22
366.0,2023-08-23
352.0,2023-08-24
479.0,2023-08-25
1051.0,2023-08-26
1333.0,2023-08-27
366.0,2023-08-28
