date,value
2022-08-01,713.0
2022-08-02,788.0
2022-08-03,785.0
2022-08-04,850.0
2022-08-05,904.0
2022-08-06,1177.0
2022-08-07,1280.0
2022-08-08,813.0
2022-08-09,957.0
2022-08-10,907.0
2022-08-11,971.0
2022-08-12,1010.0
2022-08-13,1443.0
2022-08-14,1375.0
2022-08-15,907.0
2022-08-16,972.0
2022-08-17,984.0
2022-08-18,1038.0
2022-08-19,1130.0
2022-08-20,1395.0
2022-08-21,1360.0
2022-08-22,832.0
2022-08-23,1000.0
2022-08-24,867.0
2022-08-25,1060.0
2022-08-26,1060.0
2022-08-27,1187.0
2022-08-28,1377.0
2022-08-29,1011.0
2022-08-30,1390.0
2022-08-31,1223.0
2022-09-01,973.0
2022-09-02,937.0
2022-09-03,928.0
2022-09-04,1444.0
2022-09-05,919.0
2022-09-06,1024.0
2022-09-07,854.0
2022-09-08,801.0
2022-09-09,739.0
2022-09-10,1049.0
2022-09-11,1192.0
2022-09-12,689.0
2022-09-13,778.0
2022-09-14,724.0
2022-09-15,724.0
2022-09-16,744.0
2022-09-17,927.0
2022-09-18,909.0
2022-09-19,651.0
2022-09-20,519.0
2022-09-21,535.0
2022-09-22,541.0
2022-09-23,628.0
2022-09-24,663.0
2022-09-25,839.0
2022-09-26,757.0
2022-09-27,702.0
2022-09-28,700.0
2022-09-29,630.0
2022-09-30,673.0
2022-10-01,1006.0
2022-10-02,955.0
2022-10-03,564.0
2022-10-04,672.0
2022-10-05,564.0
2022-10-06,508.0
2022-10-07,547.0
2022-10-08,931.0
2022-10-09,750.0
2022-10-10,470.0
2022-10-11,544.0
2022-10-12,580.0
2022-10-13,577.0
2022-10-14,663.0
2022-10-15,851.0
2022-10-16,968.0
2022-10-17,567.0
2022-10-18,636.0
2022-10-19,538.0
2022-10-20,624.0
2022-10-21,541.0
2022-10-22,988.0
2022-10-23,1015.0
2022-10-24,507.0
2022-10-25,580.0
2022-10-26,566.0
2022-10-27,647.0
2022-10-28,719.0
2022-10-29,1109.0
2022-10-30,864.0
2022-10-31,567.0
2022-11-01,563.0
2022-11-02,675.0
2022-11-03,717.0
2022-11-04,897.0
2022-11-05,853.0
2022-11-06,864.0
2022-11-07,564.0
2022-11-08,559.0
2022-11-09,587.0
2022-11-10,642.0
2022-11-11,810.0
2022-11-12,1050.0
2022-11-13,1117.0
2022-11-14,623.0
2022-11-15,815.0
2022-11-16,803.0
2022-11-17,747.0
2022-11-18,717.0
2022-11-19,1085.0
2022-11-20,1043.0
2022-11-21,571.0
2022-11-22,619.0
2022-11-23,494.0
2022-11-24,471.0
2022-11-25,709.0
2022-11-26,949.0
2022-11-27,1005.0
2022-11-28,550.0
2022-11-29,581.0
2022-11-30,566.0
2022-12-01,581.0
2022-12-02,674.0
2022-12-03,925.0
2022-12-04,913.0
2022-12-05,546.0
2022-12-06,559.0
2022-12-07,576.0
2022-12-08,575.0
2022-12-09,598.0
2022-12-10,940.0
2022-12-11,860.0
2022-12-12,497.0
2022-12-13,604.0
2022-12-14,526.0
2022-12-15,607.0
2022-12-16,663.0
2022-12-17,925.0
2022-12-18,771.0
2022-12-19,583.0
2022-12-20,685.0
2022-12-21,611.0
2022-12-22,646.0
2022-12-23,803.0
2022-12-24,1070.0
2022-12-25,1186.0
2022-12-26,725.0
2022-12-27,920.0
2022-12-28,964.0
2022-12-29,1070.0
2022-12-30,1506.0
2022-12-31,1335.0
2023-01-01,331.0
2023-01-02,751.0
2023-01-03,966.0
2023-01-04,798.0
2023-01-05,813.0
2023-01-06,806.0
2023-01-07,625.0
2023-01-08,754.0
2023-01-09,378.0
2023-01-10,389.0
2023-01-11,529.0
2023-01-12,621.0
2023-01-13,705.0
2023-01-14,1081.0
2023-01-15,1022.0
2023-01-16,541.0
2023-01-17,648.0
2023-01-18,630.0
2023-01-19,558.0
2023-01-20,655.0
2023-01-21,869.0
2023-01-22,856.0
2023-01-23,532.0
2023-01-24,553.0
2023-01-25,529.0
2023-01-26,518.0
2023-01-27,581.0
2023-01-28,808.0
2023-01-29,860.0
2023-01-30,518.0
2023-01-31,524.0
2023-02-01,492.0
2023-02-02,517.0
2023-02-03,621.0
2023-02-04,723.0
2023-02-05,803.0
2023-02-06,430.0
2023-02-07,487.0
2023-02-08,388.0
2023-02-09,528.0
2023-02-10,574.0
2023-02-11,898.0
2023-02-12,873.0
2023-02-13,463.0
2023-02-14,460.0
2023-02-15,548.0
2023-02-16,546.0
2023-02-17,513.0
2023-02-18,871.0
2023-02-19,843.0
2023-02-20,556.0
2023-02-21,580.0
2023-02-22,777.0
2023-02-23,800.0
2023-02-24,745.0
2023-02-25,642.0
2023-02-26,658.0
2023-02-27,485.0
2023-02-28,562.0
2023-03-01,509.0
2023-03-02,522.0
2023-03-03,518.0
2023-03-04,876.0
2023-03-05,875.0
2023-03-06,521.0
2023-03-07,688.0
2023-03-08,905.0
2023-03-09,471.0
2023-03-10,634.0
2023-03-11,915.0
2023-03-12,952.0
